iter	RMSE
231	9.232906001
232	9.232621277
233	9.232081294
234	9.231789967
235	9.231410479
236	9.231058301
237	9.230669411
238	9.2303598
239	9.230046408
240	9.229683642
241	9.22937005
242	9.229035795
243	9.228695065
244	9.228428886
245	9.228144336
246	9.227805769
247	9.227501718
248	9.227139644
249	9.226858658
250	9.226545308
251	9.226280611
252	9.225991634
253	9.225667222
254	9.225365181
255	9.224904886
256	9.22464806
257	9.224376769
258	9.224133233
259	9.223479957
260	9.223242667
261	9.22294541
262	9.222802754
263	9.222489618
264	9.222117141
265	9.221883912
266	9.221715115
267	9.22121145
268	9.220741198
269	9.220452724
270	9.2200732
271	9.219944953
272	9.219525604
273	9.219154905
274	9.218853456
275	9.218604632
276	9.218335444
277	9.217676883
278	9.21744147
279	9.217051897
280	9.216625787
281	9.216327614
282	9.215953772
283	9.21549121
284	9.215060473
285	9.214807003
286	9.214590625
287	9.214318217
288	9.21399752
289	9.213715797
290	9.213494253
291	9.213058651
292	9.212541369
293	9.212131207
294	9.211798188
295	9.211466766
296	9.211204111
297	9.210930581
298	9.21067995
299	9.210348374
300	9.210060246
301	9.209738578
302	9.209449998
303	9.209093304
304	9.208821569
305	9.208532129
306	9.208269941
307	9.20797256
308	9.207588307
309	9.207256401
310	9.206976042
311	9.206731515
312	9.206318406
313	9.206021903
314	9.20567285
315	9.205374848
316	9.205189414
317	9.20482731
318	9.204623947
319	9.204350415
320	9.204148475
321	9.203830907
322	9.203604762
323	9.203355666
324	9.202785729
325	9.202634731
326	9.202476842
327	9.202198688
328	9.201922944
329	9.201773385
330	9.201461313
331	9.201230161
332	9.200958828
333	9.200812306
334	9.200602394
335	9.200309629
336	9.20010605
337	9.199850523
338	9.199561872
339	9.199265071
340	9.198982109
341	9.198702551
342	9.198453138
343	9.198212571
344	9.197927954
345	9.197686497
346	9.197385494
347	9.197111062
348	9.196952308
349	9.196687212
350	9.196361903
351	9.195877059
352	9.195496703
353	9.195304972
354	9.195096098
355	9.194899297
356	9.194554347
357	9.194365705
358	9.194083527
359	9.19346661
360	9.193278357
361	9.193009732
362	9.192824221
363	9.192638704
364	9.192382727
365	9.192126741
366	9.191807366
367	9.191575683
368	9.19131208
369	9.191150674
370	9.190849897
371	9.190630714
372	9.190485722
373	9.190244594
374	9.18989664
375	9.189771811
376	9.189521741
377	9.189291267
378	9.189111785
379	9.188756201
380	9.188368323
381	9.188225589
382	9.188088526
383	9.187917345
384	9.187708174
385	9.18737889
386	9.187062349
387	9.186793713
388	9.1864969
389	9.186266936
390	9.186027868
391	9.185833973
392	9.185581989
393	9.185158866
394	9.184620391
395	9.184374182
396	9.184074817
397	9.1838885
398	9.183667547
399	9.183444606
400	9.183231702
401	9.183084554
402	9.182823146
403	9.182568165
404	9.182321229
405	9.182073006
406	9.18184344
407	9.181631281
408	9.181416301
409	9.181184973
410	9.180983421
411	9.180770839
412	9.18062722
413	9.180378098
414	9.180198822
415	9.179858311
416	9.179624677
417	9.179493674
418	9.179245776
419	9.179012666
420	9.178808369
421	9.17857631
422	9.178332904
423	9.178103492
424	9.177828862
425	9.177586458
426	9.177349717
427	9.177062472
428	9.176877127
429	9.17671013
430	9.176527637
431	9.176337375
432	9.176021383
433	9.175818532
434	9.175690179
435	9.175484903
436	9.17534167
437	9.175191858
438	9.174782471
439	9.17448571
440	9.17428924
441	9.174138763
442	9.173981281
443	9.173827218
444	9.173572476
445	9.173411854
446	9.173206474
447	9.172838493
448	9.172603586
449	9.172452297
450	9.172217607
451	9.171987021
452	9.171807965
453	9.171511416
454	9.171210028
455	9.170947401
456	9.170695633
457	9.170492242
458	9.170365784
459	9.170054141
460	9.169763365
461	9.169596811
462	9.169448267
463	9.169259876
464	9.169040289
465	9.168694286
466	9.168532975
467	9.168301135
468	9.168041841
469	9.167831158
470	9.167564865
471	9.167318817
472	9.16718061
473	9.166705744
474	9.166505049
475	9.166270045
476	9.16610048
477	9.165924874
478	9.165621402
479	9.165388261
480	9.165245964
481	9.165098821
482	9.164958467
483	9.164840485
484	9.164645706
485	9.164454197
486	9.164285271
487	9.164054883
488	9.163856027
489	9.163468808
490	9.163121014
491	9.163055913
492	9.162816064
493	9.162683259
494	9.162455788
495	9.162286907
496	9.162139644
497	9.162032668
498	9.161899835
499	9.16165746
500	9.161439139
501	9.16109753
502	9.160945269
503	9.160699199
504	9.160543659
505	9.160385548
506	9.160242328
507	9.160092935
508	9.159944384
509	9.159794904
510	9.159501099
511	9.159340863
512	9.159122365
513	9.158955559
514	9.15881498
515	9.158670133
516	9.158488204
517	9.158355752
518	9.157769048
519	9.157574035
520	9.157346553
521	9.157183275
522	9.157000519
523	9.156823547
524	9.156635894
525	9.156295325
526	9.156156686
527	9.155969406
528	9.155823198
529	9.155612552
530	9.155476471
531	9.155279273
532	9.154830119
533	9.154708752
534	9.154483799
535	9.154299836
536	9.154149399
537	9.153813866
538	9.153673413
539	9.153461232
540	9.153277107
541	9.153123676
542	9.152921652
543	9.152747573
544	9.152347185
545	9.152123478
546	9.151866173
547	9.151673764
548	9.151475924
549	9.151277363
550	9.151139081
551	9.150977496
552	9.150853676
553	9.150539272
554	9.150314361
555	9.150008308
556	9.149858217
557	9.149707041
558	9.149460898
559	9.1492706
560	9.149101373
561	9.148902018
562	9.14869558
563	9.148452829
564	9.148165389
565	9.148031912
566	9.147784152
567	9.147600441
568	9.147326989
569	9.147154053
570	9.146990922
571	9.146831565
572	9.146682983
573	9.146512585
574	9.14636221
575	9.146080655
576	9.145882782
577	9.145739656
578	9.145647653
579	9.14547966
580	9.145364363
581	9.14509185
582	9.144936535
583	9.144800225
584	9.144658464
585	9.14447889
586	9.144219752
587	9.14402225
588	9.143831403
589	9.14363031
590	9.143510212
591	9.143314268
592	9.142980194
593	9.142628062
594	9.142387086
595	9.142209928
596	9.142029061
597	9.141829521
598	9.141654665
599	9.141534338
600	9.141340823
601	9.14115018
602	9.140858792
603	9.140468938
604	9.14026733
605	9.140085289
606	9.13985965
607	9.139366208
608	9.139235604
609	9.139128768
610	9.138809054
611	9.138635254
612	9.138143986
613	9.137951142
614	9.137816981
615	9.13761697
616	9.137423884
617	9.137297973
618	9.137119323
619	9.136821797
620	9.136659965
621	9.136487673
622	9.136185908
623	9.135900336
624	9.135743271
625	9.135563112
626	9.1354304
627	9.135254832
628	9.135131762
629	9.134946338
630	9.134695356
631	9.134543635
632	9.134357669
633	9.134130173
634	9.133984323
635	9.133854802
636	9.133692482
637	9.133362917
638	9.133178332
639	9.133001299
640	9.132796298
641	9.132671076
642	9.132591323
643	9.13248725
644	9.13240048
645	9.132310583
646	9.132116008
647	9.131980584
648	9.131787534
649	9.131576931
650	9.131309936
651	9.131155417
652	9.131015908
653	9.130944147
654	9.130789297
655	9.130623873
656	9.130537809
657	9.13035837
658	9.13021407
659	9.130079228
660	9.129974348
661	9.129867482
662	9.129768069
663	9.129624446
664	9.129396019
665	9.129215121
666	9.128954031
667	9.128623485
668	9.128478075
669	9.128289966
670	9.128094803
671	9.127999323
672	9.127778938
673	9.127589955
674	9.127329332
675	9.127133203
676	9.127015871
677	9.126670306
678	9.12653038
679	9.126351872
680	9.126215273
681	9.126092829
682	9.125994771
683	9.12582302
684	9.125719677
685	9.12552484
686	9.12533647
687	9.125006715
688	9.124804924
689	9.124633739
690	9.124462422
691	9.124335993
692	9.124188969
693	9.123985673
694	9.123848265
695	9.123693987
696	9.123534205
697	9.123361836
698	9.123178689
699	9.123007606
700	9.122677154
701	9.122545911
702	9.12240374
703	9.122299121
704	9.122174675
705	9.122032812
706	9.121904325
707	9.12182074
708	9.121730936
709	9.121588234
710	9.121444948
711	9.121263908
712	9.12112898
713	9.12101036
714	9.120718519
715	9.120608879
716	9.120349604
717	9.120201422
718	9.119925145
719	9.11978264
720	9.119584832
721	9.119458921
722	9.119335536
723	9.119121129
724	9.119023011
725	9.118946722
726	9.118738744
727	9.118612441
728	9.118338445
729	9.118205038
730	9.118040433
731	9.117823484
732	9.117684343
733	9.117411029
734	9.1172989
735	9.11719884
736	9.1170745
737	9.116922822
738	9.11681798
739	9.116682362
740	9.116527521
741	9.116368691
742	9.116257921
743	9.116088475
744	9.115937838
745	9.115803909
746	9.115647262
747	9.115535988
748	9.115385923
749	9.115176879
750	9.114957893
751	9.114816162
752	9.114639862
753	9.114522921
754	9.114401158
755	9.114295809
756	9.114169794
757	9.114071949
758	9.11392012
759	9.113812784
760	9.113626686
761	9.113478187
762	9.113360178
763	9.113114733
764	9.112972044
765	9.11274321
766	9.112601628
767	9.112434392
768	9.112274597
769	9.11209044
770	9.111973032
771	9.111793463
772	9.111530246
773	9.111429496
774	9.111109759
775	9.111005075
776	9.110885558
777	9.110710605
778	9.110577885
779	9.110382476
780	9.110238068
781	9.110112436
782	9.109803325
783	9.109666483
784	9.109461313
785	9.109308104
786	9.109170793
787	9.109056196
788	9.108940996
789	9.108749966
790	9.108541956
791	9.108402146
792	9.10823729
793	9.108098392
794	9.107955608
795	9.107740603
796	9.107663546
797	9.107568807
798	9.107490921
799	9.107322833
800	9.107231999
801	9.107117646
802	9.106999786
803	9.10660795
804	9.106347213
805	9.106097746
806	9.105996845
807	9.105837724
808	9.105658273
809	9.105467082
810	9.105365794
811	9.10522295
812	9.105097195
813	9.104954157
814	9.104843735
815	9.104672101
816	9.104607663
817	9.104488935
818	9.104331156
819	9.104199038
820	9.10402673
821	9.103853213
822	9.103686595
823	9.10350814
824	9.103332834
825	9.103193831
826	9.102898541
827	9.102746693
828	9.102504485
829	9.102348323
830	9.102247173
831	9.102092327
832	9.101904306
833	9.101780465
834	9.101532048
835	9.10138316
836	9.101164179
837	9.100981678
838	9.100825166
839	9.100666584
840	9.100546864
841	9.100435305
842	9.100176805
843	9.099998172
844	9.099851233
845	9.099702611
846	9.099483979
847	9.099372533
848	9.099127141
849	9.098931299
850	9.098802641
851	9.098718098
852	9.098561177
853	9.098430656
854	9.098324039
855	9.098221762
856	9.098070795
857	9.097964676
858	9.097781659
859	9.097639745
860	9.097483093
861	9.09737132
862	9.097256172
863	9.096873114
864	9.096732051
865	9.096563642
866	9.096462919
867	9.09631794
868	9.096211087
869	9.096069908
870	9.095939826
871	9.095727988
872	9.095600202
873	9.095537162
874	9.095427735
875	9.095279669
876	9.095131626
877	9.094973476
878	9.09489616
879	9.094794303
880	9.094695036
881	9.094464553
882	9.094346949
883	9.094233667
884	9.094077863
885	9.093898273
886	9.093662575
887	9.093556441
888	9.093429752
889	9.093282322
890	9.093056149
891	9.092906541
892	9.092774932
893	9.092685853
894	9.092433736
895	9.092110299
896	9.091884977
897	9.091757539
898	9.091437356
899	9.091284109
900	9.091173313
901	9.090999663
902	9.090895902
903	9.090743107
904	9.090547058
905	9.090372587
906	9.090243167
907	9.090094093
908	9.089886032
909	9.089723477
910	9.089495817
911	9.089288017
912	9.089185168
913	9.089023382
914	9.088928455
915	9.088811573
916	9.088711247
917	9.088587561
918	9.08849291
919	9.08837469
920	9.088265876
921	9.088127352
922	9.087998586
923	9.087889652
924	9.087784348
925	9.087587977
926	9.087507214
927	9.087397458
928	9.087267445
929	9.087138334
930	9.087050468
931	9.08680362
932	9.086576558
933	9.086212795
934	9.086042003
935	9.085950152
936	9.085752583
937	9.085602851
938	9.085493861
939	9.085341984
940	9.085149519
941	9.085059379
942	9.084945131
943	9.0846643
944	9.084547844
945	9.084412537
946	9.084336519
947	9.084226654
948	9.08394514
949	9.083741803
950	9.083496089
951	9.083387429
952	9.083251985
953	9.083035733
954	9.082912221
955	9.082815349
956	9.082680392
957	9.082577057
958	9.082446693
959	9.082263752
960	9.082176732
961	9.082031303
962	9.081886717
963	9.081767439
964	9.08164377
965	9.081518847
966	9.081329059
967	9.08121172
968	9.081095797
969	9.080968346
970	9.08077452
971	9.080674589
972	9.080545143
973	9.080418396
974	9.080349607
975	9.080258513
976	9.080191854
977	9.080058405
978	9.079970124
979	9.079870155
980	9.079684317
981	9.079562319
982	9.079457565
983	9.079339162
984	9.079179637
985	9.079005357
986	9.078894176
987	9.078747188
988	9.078603555
989	9.078496514
990	9.078290435
991	9.078180783
992	9.078078578
993	9.077891136
994	9.077704186
995	9.077569206
996	9.077443704
997	9.077325186
998	9.077123656
999	9.07699044
